Gene_name       Ensembl_ID
membrane metallo endopeptidase 	ENSLAFG00000015397
Met proto-oncogene 	ENSLAFG00000011703
Mfng 	ENSLAFG00000011087 
MFrp2 	NA
MFrzb1 	NA
MFz6 	ENSLAFT00000010776
midkine 	ENSLAFG00000015119
mlarp 	NA
Mmp13 	ENSLAFG00000006001 
Mmp14 	ENSLAFG00000002214
Mmp2 	ENSLAFG00000003966 
Mmp3 	ENSLAFG00000010058 
Mmp9 	ENSLAFG00000018571 
Msx1 	ENSLAFG00000013862
Msx2 	ENSLAFG00000001916 
Mts1	NA
N-myc 	ENSLAFG00000012842 
Ndr1 	ENSLAFG00000002836, ENSLAFG00000005611
Nestin 	ENSLAFG00000007187
Netrin1 	ENSLAFT00000004650 
Netrin3 	ENSLAFG00000012607
neuroglycan 	ENSLAFG00000009692
Neuropilin1 	ENSLAFG00000003025 
Neuropilin2 	ENSLAFG00000016414 
Ngf 	ENSLAFG00000028282 
Ngfr 	ENSLAFG00000003584
Nlrr3 	ENSLAFG00000013678
Noggin 	ENSLAFG00000009858
Notch1 	ENSLAFG00000022253,ENSLAFG00000025838
Notch2 	ENSLAFG00000011961
Notch3 	ENSLAFG00000031040 
Nrg1 	ENSLAFG00000016872
Ntf3 	ENSLAFG00000002319
Ntf5 	ENSLAFG00000028677
Ntrk1 	ENSLAFG00000001317 
Ntrk3 	ENSLAFG00000015226
Oasis 	ENSLAFG00000005092
Occludin 	ENSLAFG00000022373 
Odc 	ENSLAFG00000017545,ENSLAFG00000005330
Ofd1	ENSLAFG00000014402
onnexin32 	ENSLAFG00000017404 
Osr2 	ENSLAFG00000009420 
osteocalcin 	ENSLAFG00000016824
osteopontin 	ENSLAFG00000006514 
P-cadherin 	ENSLAFG00000006743 
p21 	ENSLAFG00000009778 
Pace4 	ENSLAFG00000012645 
Patched 1 	ENSLAFG00000006976
Patched 2 	ENSLAFG00000026389 
Pax9 	ENSLAFG00000017541 
Pcdh-gamma 	ENSLAFG00000004545
Pcna 	ENSLAFG00000006413 
phosphacan 	ENSLAFG00000004565
pigpen 	ENSLAFG00000001643 
Pitx2 	NA
plakoglobin 	ENSLAFG00000002854 
pleiotrophin	ENSLAFG00000018313
Plp1 	ENSLAFG00000014911
Plu1 	ENSLAFG00000005104
procollagen type III 	ENSLAFG00000016454
Prrx1	ENSLAFG00000007385
Prrx2 	ENSLAFG00000002347
Pthlh 	ENSLAFG00000016512 
Pthr1 	ENSLAFG00000013158 
Pvrl1	ENSLAFG00000028118
Rab23 	ENSLAFG00000007209 
Raf1 	ENSLAFG00000011608
Rara 	ENSLAFG00000016234
Rarb 	ENSLAFG00000015824 
Rarg 	ENSLAFG00000008347 
Rbp1 	ENSLAFG00000022319 
Reelin 	ENSLAFG00000003384 
