mom_name,mom_ID,family,mom_2_tusks,mom_0_tusks,mom_left_tusk,mom_right_tusk,mom_accuracy,notes,first_date_calf_recorded,calf_age_years,calf_age_months,calf_age_weeks,calf_age_days,calf_ID,estim_year_birth,calf_female,calf_male,calf_sex,sex_confirmed_2020,sex_confirmed,calf_2_tusks,calf_0_tusks,calf_left_tusk,calf_right_tusk
Ianthe,gf0037,I,,,,1,4,20151012 seen moving with her; still pink behind the ears ~ one week (Note inter-calf interval of exactly 3 years!),20151012,0.02,,1,,gf0038c,2015,1,,f,,,,,,
Ianthe,gf0037,I,,,,1,4,20121019 seen standing underneath her as an infant: from ID card: gf0037 had a tiny newborn in 10/2012 the youngest of the three infants in family,20121019,0.02,,1,,gf0037c,2012,1,,f,,yes,,,,
,gf0008,Z,,,,1,4,20161027 photographed following her up bank on trail camera; 20161027 and again on EV footage,20161027,0.02,,1,,gf0008,2016,,,unk,,,,,,
,gf0018,M,1,,,,4,20160507 from a great distance photographed DOUBLE-SUCKLING an infant and a 4 year old. 20161101 1606 photographed suckling,20160507,0.02,,1,,gf0018c,2016,,,unk,,,,,,
,gf0179,Z,1,,,,4,20161022 photographed on trail cameras with tiny infant,20161022,0.02,,,1,gf0179c,2016,,,,,,,,,
Ileana,gf0039,I,,,,1,4,20151012 photographed Suckling her as a tiny newborn; 20160522 photographed grabbing her hind leg and following her - very big calf for age!,20151012,0.04,,2,,gf0039c,2015,,1,m,,,1,,,
,gf0169,N,1,,,,4,20160531 photographed with infant right with her; 20160602 also with her 20160623 photographed with infant right with her;,20160531,0.04,,2,,gf0169c,2016,1,,f,,,,,,
,gf0025,M,1,,,,4,20160526 seen with newborn by her side,20160526,0.04,,2,,gf0025c,2016,,1,m,,,,,,
,gf0006,N,1,,,,4,20160608 she is followed by an infant; 20160610 photographed on trail camera - infant close to her again. ,20160608,0.04,,2,,gf0006c,2016,,,unk,,,,,,
,gf0148,T,,,1,,4,20160610 photographed on trail cameras with she has an infant about 1 month; 20160831 Registered female gf0148 has one left tusk and a calf about 6 months; ,20160610,0.08,1,,,gf0148c,2016,1,,f,,,,,,
Maya,gf0020,M,1,,,,4,20160525 photographed with newborn; 20161102 photographed Suckling,20160525,0.08,1,,,gf0020c,2016,,1,m,,yes,,,,
Estela,gf0106,J,1,,,,4,20151027 photographed on trail camera with tiny infant; 20161026 on trail camera this little male has a snare around his left hind leg. 2017 photographed still alive during regular sighting. 20160808 uses head to get up the bank due to the snare,20151027,0.08,1,,,gf0106c,2015,,1,m,,,,,,
,gf0144,j,1,,,,4,"20160702 photographed with an infant, a tuskless female 4 and a tuskless female 9, who appears pregnant; perhaps the tusklesses belong to another female?",20160702,0.16,2,,,gf0144c,2016,1,,f,,,,,,
Valente,gf0013,M,1,,,,4,201710 seen following closely as an infant ,201710,0.42,5,,,gf0013c,2017,1,,f,,yes,,,,
,gf0101,N,,,1,,4,20160615 photographed on trail cameras with infant; 20160702 photographed with infant on trail cameras; 20160705 photographed with infant on trail cameras,20160615,0.5,6,,,gf0101,2016,1,,f,,,,,,
,gf0207,R,,,1,,4,20160630 photographed on trail cameras with two caves one looks to be about 2.5 and the other about 6 months,20160630,0.5,6,,,gf0207c,2016,,,unk,,,,,,
Marcela,gf0017,M,1,,,,4,"20131020 The clip opens with a view of the Mabenzi family. The behavior in question is difficult to see because, Maya gf0020 is in the light in the foreground. A circle focuses attention on a 4-5 year old male calf approaching Marcela, gf0017, who has been Suckling a 6 month old calf for a long time. The male approaches and Supplants calf and Suckles. 20131014 in close association; seems to be a male but better view from photographs in 20131020 that show it to be female and has head behind fore leg",20131020,0.5,6,,,gf0017c,2013,1,,f,,yes,,,,
,gf0010,B,1,,,,4,20121012 seen with young calf notes: “The younger female gf0010 was edgy perhaps because she had a one year old calf”,20121012,1,,,,gf0010c,2011,1,,f,,,1,,,
Iphegenia,gf0046,I,1,,,,4,20161105 seen with her on trail camera following up the bank; 20171026 1 yr calf Suckling from gf0046; 20191008,20171026,1,,,,gf0046c,2015,1,,f,√,yes,1,,,
Mimosa,gf0079,M,1,,,,4,20161102 photographed Suckling,20161102,1,,,,gf0079c,2015,1,,f,,,,,,
Emilia,gf0161,E,1,,,,4,20160526: a female with tusks (registered as gf0161) and a 1 year female calf with a left front leg snared. ,20160526,1,,,,gf0161c,2015,1,,f,,,,,,
,gf0196,P,1,,,,4,20151024 photographed on trail cameras with 1 year old by her side; 201610? same calf with her now with a tusks just showing; 20161026 same female calf is with her,20151024,1,,,,gf0196c,2013,1,,f,,,1,,,
Provocadora,gf0012,M,1,,,,4,"was with gf0012 in a small group of 5 with his female siblings; 20131017 male 1.5yr old, tuskless female of 5 yr, crease ear female 8-10yr with short tusks, pregnant female with crease ear about 13-14 yr very short tusks; young male behind. The 5yr old tried to suckle, which would mean that she is suckling two calves at the same time.",2012 GET DATE,1,,,,gf0012c,2012,,1,m,,,,,,
,gf0047,I,1,,,,4,20151024 standing by her side for about half an hour; 20191008 a five year old with her - check sex,20151024,1,,,,gf0047c ,2014,,1,m,,,,,,
,gf0023,M,1,,,,4,photographed trying to Suckle on 2016110,2016110,1,,,,gf0023c,2015,,,unk,,,,,,
,gf0090,D,1,,,,4,"20160803 photographed on trail cameras with a calf about 1 year, a calf about 4 and a female 6.5 years; 20161022 photographed with her",20160803,1,,,,gf0090c,2015,,,unk,,,,,,
,gf0118,C,1,,,,4,seen following 20190930,20190930,1,,,,gf0118c,2018,,,unk,,,,,,
,gf0127,T,1,,,,4,20151020 Photographed with calf Suckling,20151020,1,,,,gf0127c,2014,,,unk,,,,,,
,gf0158,I,1,,,,4,20190928: From field notes gf0158 who was noted as pregnant in 2017 is being followed by a 1 year old calf.,20190928,1,,,,gf0158c,2018,,,unk,,,,,,
,gf0164,M,1,,,,4,20161101 photographed Suckling,20161101,1,,,,gf0164c,2015,,,unk,,,,,,
Maya,gf0020,M,1,,,,4,"The clip filmed in 201310 begins with a view of the Mabenzi family grazing. Maya, gf0020, is being Suckled by a 1.5 year old female. gf0017 moves toward gf0020 and Supplant her and Maya's calf goes around to other side to suckle.",20131020,1.5,,,,gf0020c,2012,1,,f,,yes,,,,
,gf0025,M,1,,,,4,was pregnant in 2012; seen 201510 with 1.5 female calf by Paul Lyons,201510,1.5,,,,gf0025c,2013,1,,f,,Yes,,,,
,gf0158,I,1,,,,4,20191008 filmed with an infant and I comment on female with straight tusks with an infant,20191008,1.5,,,,gf0238c,2018,,,unk,,,,,,
,gf0170,N,1,,,,4,20150622 photographed on trail cameras Suckling a calf; 20160610 photographed on trail camera with a female calf age 3; 20160611 photographed with a calf who looks about 3.5,20150622,1.8,,,,gf0170c,2013,1,,f,,,1,,,
,gf0134,H,1,,,,4,20151014 Photographed following closely across the road and suckling (possibly tuskless) Field notes: 1) gf0134; 2) female calf ~ age two tuskless; 3) calf 4 also following gf0134; 4) tuskless female ~10; 5) calf ~ 2 6) gf0135 broken left; 7) young male ~10 two tusks. (Note in my field notes I say 2-tuskless and she is the same size as the other who has tusks - also older sister is tuskless),20151014,2,,,,gf0134c,2013,1,,f,,yes,,,,
Iphegenia,gf0046,I,1,,,,4,20121021 calf with tusks just emerging photographed Suckling; Following her closely as she displays to us 20161031 and trying to suckle or beg!,20121021,2,,,,gf0046c,2010,,1,m,√,,1,,,
,gf0081,C,1,,,,4,20160525 photographed DOUBLE-SUCKLING with older sister - no tusks; 20161031: photographed suckling in the middle of defensive action by mother,20160525,2,,,,gf0081c,2014,,1,m,,,,,,
,gf0170,N,1,,,,4,20150701 photographed on trail cameras putting a protective trunk around; 20160810 photographed on trail cameras with mother and trying to Suckle,20150701,2,,,,gf0136c,2013,,,unk,,,,,,
,gf0088,M,1,,,,4,20161101 1601 in her close company on 20161101 1601  in a subgroup with no other lactating females; 20131019 was pregnant; also seen in close association on 20151024 not yet with tusks but female; ,20161101,3,,,,gf0088c,2013,1,,f,,yes,1,,,
,gf0137,N,1,,,,4,20160703 photographed Suckling on trail camera by what appears to be a tuskless female age ~ 3,20160703,3,,,,gf0137c,2013,1,,f,√,yes (tuskless),,1,,
,gf0047,I,1,,,,4,20121029 ~3 year old calf with tusks Suckling. 2012 photographed Suckling; 20151024 standing by her side;,20121029,3,,,,gf0047c,2010,,1,m,,,1,,,
Calila,gf0104,C,1,,,,4,20190930 Suckling from her. (Note that gf0104 was seen in 10 2016 with developing breasts).,20190930,3,,,,gf0104c,2017,,1,m,,,1,,,
,gf0152,C,1,,,,4,seen and photographed Suckling on numerous occasions; 20171027 gf0152's calf is definitely male and she is occasionally trying to wean him,20171027,3,,,,gf0152c,2014,,1,m ,,,1,,,
,gf0010,B,1,,,,4,20161026 EV footage with calf 3 with tusks - is clearly male - filmed Suckling,2013,3.5,,,,gf0010c,2013,,1,m,,,1,,,
,gf0147,I,,,,1,4,"20171009: gf0147 with male 7, female 4, calf 1.5 ; 20171027: gf00147 and her male calf 3-4 years old and saw him trying to Suckle, heard a protest call. From better photos 2013 seems to be female; 20160522 photographed in close association; From better photos 2013 seems to be female;",20171009,4,,,,gf0147c,2013,1,,f,,yes,1,,,
One Tusk,gf0001,O,,,1,,4,observed Suckling in a photo 20161102 1725; observed by her side on 20161101,20161101,4,,,,gf0001c,2011,1,,f,,yes,1,,,
,gf0101,N,,,1,,4,20150524 photographed on trail cameras with calf 4 Suckling; 20150730 comes up and sniffs her and stands with her; 20150801 this male comes up behind her and grabs her leg and puts his head against her back legs. 20150917 again photographed Suckling by this same male calf with an erection; 20160615 follows after gf0101. 20160605 male following her with erection,20150524,4,,,,gf0101c,2011,,1,m,,yes,1,,,
,gf0102,Q,1,,,,4,20150712 photograph from trail cameras with calf Suckling,20150712,4,,,,gf0102,2011,1,,f,,,1,,,
Estela,gf0106,J,1,,,,4,20150818 and 20150921 photographed Suckling on trail cameras; 20161026 observed following closely on trail camera; 2017 observed Suckling (definitely male),20150818,4,,,,gf0106c,2011,,1,m,,yes,1,,,
,gf0018,M,1,,,,4,20160507 from a great distance photographed DOUBLE-SUCKLING an infant and a 4 year old.,20160507,4,,,,gf0018c,2012,,,unk,,,,,,
Marcela,gf0017,M,1,,,,4,"20131020 The clip opens with a view of the Mabenzi family. The behavior in question is difficult to see because, Maya gf0020 is in the light in the foreground. A circle focuses attention on a 4-5 year old male calf approaching Marcela, gf0017, who has been Suckling a 6 month old calf for a long time. The male approaches and Supplants calf and Suckles  20131014 also with her. 20160525 she is followed by a male of about 7",20131020,4.5,,,,gf0017c,2009,,1,m,,yes,1,,,
One Tusk,gf0001,O,,,1,,4,20121027 photographed Suckling; 20150910 photographed with her on trail cameras about 8 years old,20121027,5,,,,gf0001c,2007,1,,f,,yes,1,,,
Provocadora,gf0012,M,1,,,,4,20121012 seen following her in subsection of group. and seen comfort-suckling gf0191; 20131018 my notes say ”this 5 year “tuskless” tried to suckle; which means that gf0012 is Suckling two calves at the same time”. I wrote tuskless in my notes from but I have only seen her with tusked offspring so must have missed the tusks in the long grass (SUCKLING TWO CALVES),20121012,5,,,,gf0012c,2008,1,,f,,,1,,,
Valente,gf0013,M,1,,,,4,in footage from 20131019; 20160511 following gf0013 closely; 20160526 standing close to her; following closely;,20160511,5,,,,gf0013c,2011,1,,f,,yes,1,,,
,gf0006,N,1,,,,4,20150717 photographed on trail cameras following closely a calf about 1 year and another about 5.5; 20160610 photographed next to gf0006 on trail camera; 20160623 photographed on trail camera standing near her; seen in group with her on 20160611 ,20150717,5.5,,,,gf0204,2009,1,,f,,yes,,,,1
,gf0147,I,,,,1,4,"20191009 in the group and hanging out with gm0210; 20171009: gf0147 with male 7, female 4, calf 1.5 ;",20171009,7,,,,gf0147c,2010,,1,m,,yes,1,,,
,gf0101,N,,,1,,4,20150730 photographed on trail cameras with tuskless juvenile 7 sniffing her genitals and standing by her; 20150801 the tuskless female is also here; 20160615 follows gf0101.,20150730,7,,,,gf0101c,2008,1,,f,√,yes (tuskless),,1,,
,gf0202,T,1,,,,3,20160610 followed by a 6 month calf,20160610,0.5,6,,,gf0202c,2016,,,unk,,,,,,
Vigilante,gf0064,V,,,,1,3,20160618 is with a female calf about 1 year; 20161020 seems to have a small calf by her side,20160618,1,,,,gf0064c,2015,1,,f,,,,,,
,gf0147,I,,,,1,3,20160522 following closely; 20161031 seen in the company of adolescent Ibbie in group with only gf0147 and gf0045 and their calves,20160522,1,,,,gf0147c,2015,,1,m,,,1,,,
One Tusk,gf0001,O,,,1,,3,20160517 caught on trail camera with calf following; 20161101 seen next to on and in close association in group on 20190928’ ,20160517,1,,,,gf0001c,2015,1,,f,,yes,1,,,
,gf0201,T,,,1,,3,20160610 followed by a 1 year calf,20160610,1,,,,gf0201c,2015,,,unk,,,,,,
Mimosa,gf0079,M,1,,,,3,20131020 photographed next to her no tusks ,20131020,1,,,,gf0079c,2012,,1,m,,yes,,,,
,gf0006,N,1,,,,3,20150717 photographed on trail cameras following closely a calf about 1 year and another about 5.5 ; note this is the one that was caught in a snare,20150717,1,,,,gf0006c,2014,,,unk,,,,,,
,gf0021,M,1,,,,3,"20171012 gf0021, followed by calf 1, female 5",20171012,1,,,,gf0021c,2016,,,unk,,,,,,
,gf0113,A,1,,,,3,20150530 photographed following closely,20150530,1,,,,gf0113c,2014,,,unk,,,,,,
,gf0198,P,1,,,,3,20161022 photographed on trail cameras with calf 18 months,20161022,1.5,,,,gf0198c,2014,,,unk,,,,,,
Ambuscadora,gf0082,A,1,,,,3,20131020 followed by a male calf; 2015 followed by calf with 2 tusks,20131020,1.7,,,,gf0082c,2011,,1,m,,,1,,,
,gf0050,G,1,,,,3,20150530 photographed standing close to her with an older calf; moves into her foreleg as if to suckle or get in close contact; photographed following her around after this; 20150620 photographed by her side in trail camera,20150530,2,,,,gf0050c,2013,1,,f,,,,,,
Valente,gf0013,M,1,,,,3,20160527 following closely; 20161024 seen in association and following,20160527,2,,,,gf0013c,2014,,1,m,,yes,,,,
,gf0181,Z,1,,,,3,20161031 photographed on trail cameras following her up the bank on trail camera - tusks just showing; penis out,20161031,2,,,,gf0181c,2014,,1,m,,yes,,,,
Mimosa,gf0079,M,1,,,,3,20131019 photographed Suckling; 20161024 photographed in close association with and following  (hole in upper left ear),20131019,3,,,,gf0079c,2010,1,,f,,,1,,,
,gf0034,F,1,,,,3,"From 2013 video she is with 3 calves a male 3 with tusks just showing, a male 6, a female 9.",201310,3,,,,gf0034c,2010,,1,m,,,,,,
,gf0135,H,1,,,,3,20151014 Field notes: 1) gf0134; 2) female calf ~ two tuskless; 3) calf 4 also following gf0134; 4) tuskless female ~10; 5) calf ~ 2 6) gf0135 broken left; 7) young male ~10 two tusks.; so second calf of ~2 must be gf0135,20151014,3,,,,gf0135c,2012,,,unk,,,1,,,
Vigilante,gf0064,V,,,,1,3,20150604 followed by a female with 2 tusks about 3.5; 20150910 on trail camera followed by a female with 2 tusks about 4,20150604,3.5,,,,gf0064c,2011,1,,f,,,1,,,
,gf0197,,1,,,,3,20161021 photographed on trail cameras followed by a a male aged 3.5. There are other male calves in the group but not sure if they are hers;,20161021,3.5,,,,gf0197,2013,,1,m,,,1,,,
,gf0091,D,1,,,,3,20161029 photographed following her up the bank. ,20161029,3.5,,,,gf0091c,2013,,,unk,,,1,,,
,gf0173,L,,,,1,3,20160807 photographed on trail cameras followed by two females aged 4 - one tuskless and one with tusks. seems to be a larger tuskless adolescent behind but can’t see - take one of these females - closest had tusks,20160807,4,,,,gf0173c,2012,1,,f,√,yes (tuskless),,1,,
,gf0065,V,1,,,,3,20150604 photographed on trail cameras followed by a 4 year female,20150604,4,,,,gf0065c,2011,1,,f,,,1,,,
,gf0081,C,1,,,,3,20160517 photographed next to mother during Group-Advance on us; 20160525 Photographed DOUBLE-SUCKLING with younger brother; 20161031: photographed looking as if trying to suckle,20160517,4,,,,gf0081c,2012,1,,f,,,1,,,
,gf0090,D,1,,,,3,"20160803 photographed on trail cameras with a calf about 1 year, a calf about 4 and a female 6.5 years; 20161022 photographed with her",20160803,4,,,,gf0090c,2012,1,,f,,,1,,,
,gf0034,F,1,,,,3,"20160510 Standing very close to her and probably too old to belong to the only other adult female there, tuskless gf0044.",2016,4,,,,gf0034c,2012,,1,m,,,1,,,
,gf0108,J,1,,,,3,20150821 Photographed on trail cameras with a 4 year old,20150821,4,,,,gf0108c,2011,,,unk,,,1,,,
,gf0181,Z,1,,,,3,20161020 photographed on trail cameras following her down the bank on trail camera,20161020,4.5,,,,gf0181c,2012,1,,f,,yes,,,,
,gf0008,Z,,,,1,3,20161020 following her down bank to river on trail cameras; 20161027 and again on EV footage,20161020,5,,,,gf0008,2011,1,,f,,yes,,,,
,gf0148,T,,,1,,3, seems to also be with a male about 5,20160610,5,,,,gf0148c,2011,,1,m,,,,,,
,gf0050,G,1,,,,3,20150530 standing close to her with a younger calf; 20150620 photographed by her side in trail camera ,20150530,5,,,,gf0050c,2010,1,,f,,,1,,,
,gf0134,H,1,,,,3,20151014 Field notes: 1) gf0134; 2) female calf ~ two tuskless; 3) calf 4 also following gf0134; 4) tuskless female ~10; 5) calf ~ 2 6) gf0135 broken left; 7) young male ~10 two tusks.,20151014,5,,,,gf0134c,2010,,1,m,,yes,1,,,
,gf0179,Z,1,,,,3,20161019 following her down the bank on trail camera,20161019,5,,,,gf0179c,2011,,1,m,,yes,1,,,
,gf0145,J,1,,,,3,20150921 photographed on trail cameras with a 5 year old male leaning against her,20150921,5,,,,gf0145c,2010,,,unk,,,,,,
,gf0034,F,1,,,,3,"From 2013 video she is with 3 calves a male 3 with tusks just showing, a male 5.5, a female 9. 20160510 Standing very close to her and following her moves and probably too old to belong to the only other adult female there tuskless gf0044. also on 20160518 a ten year old male standing near her.",201310,5.5,,,,gf0034c,2006,,1,m,,,1,,,
,gf0180,Z,1,,,,3,20161020 photographed following her down bank on trail cameras,20161020,5.5,,,,gf0180c,2011,,1,m,,looks like it but not perfect photo,,,,
Valente,gf0013,M,1,,,,3,"20131019 is close to, cosying up to gf0013; 20160526 trying to beg for food from her;",20131019,7,,,,gf0013c,2007,1,,f,,yes,1,,,
Iphegenia,gf0046,I,1,,,,3,20191008 she is being followed by a male of 6-7,20191008 CK!,7,,,,gf0046c,2012,,1,m,,,1,,,
,gf0196,P,1,,,,3,20151024 photographed on trail cameras with a 7 year old male following; 2016102016 the calf above and an 8 year old male with her; in 2915 can see his penis clearly; in 2016 looks male,20151024,7,,,,gf0196c,2008,,1,m,,yes,1,,,
Provocadora,gf0012,M,1,,,,3,"20121012 seen following her in subsection of group; 2013 seen in small sub-group with her several times, follows closely and looks like her with creased ears",20121012,9,,,,gf0191,2003,1,,f,,,1,,,
,gf0034,F,1,,,,3,"From 2013 video she is with 3 calves a male 3 with tusks just showing, a male 5.5, a female 9.",201310,9,,,,gf0034c,2003,1,,f,,,1,,,
,gf0061,A,1,,,,3,20131020 male closely following gf0061 over a period of 15 minutes,20131020,9,,,,gf0061c,2004,,1,m,,,1,,,
Provocadora,gf0012,M,1,,,,3,seen in small sub-group with her several times and looks like her with creased ears; 20131018 pregnant,2012,12,,,,gf0088,2000,1,,f,,,1,,,
Iphegenia,gf0046,I,1,,,,3,Seen in close association with gf0046,20160522,14,,,,gf0158,2002,1,,f,,,1,,,
,gf0006,N,1,,,,3,always with her,20160602,15,,,,gf0169,2001,1,,f,,,1,,,
Marcela,gf0017,M,1,,,,3,looks like and typically in close association,20121013,17,,,,gf0020,1995,1,,f,,,1,,,
Marcela,gf0017,M,1,,,,2,20160526 with calf by her side,20160526,1,ck,,,gf0017c,2015,,,unk,,,,,,
,gf0197,,1,,,,2,20160705,20160705,1.5,,,,gf0197,2014,,,unk,,,,,,
,gf0034,F,1,,,,2,"20160510 calf with just showing tusks likely to be hers and the slightly older tuskless likely to belong to gf0044, who is also tuskless",20160510,2,,,,gf0034c,2014,,,unk,,,1,,,
,gf0207,R,,,1,,2,20160630 photographed on trail cameras with two cavles one looks to be about 2.5 and the other about 6 months - could belong to another,20160630,2.5,,,,gf0207c,2013,,,unk,,,,,,
,gf0118,C,1,,,,2,20150519 seen next to,20150519,3,,,,gf0118c,2012,,,unk,,,1,,,
,gf0173,L,,,,1,2,20160807 photographed on trail cameras followed by two females aged 4 - one tuskless and one with tusks. seems to be a larger tuskless adolescent behind but can’t see. 20161001 photographed by a tusked four year old,20160807,4,,,,gf0173c,2012,1,,f,,,1,,,
,gf0144,j,1,,,,2,"20160702 photographed with an infant, a tuskless female 4 and a tuskless female 9 who appears pregnant; perhaps the tusklesses belong to another female?",20160702,4,,,,gf0144c,2012,1,,f,√,yes (tuskless),,1,,
,gf0021,M,1,,,,2,"20171012 gf0021, followed by calf 1, female 5",20171012,5,,,,gf0021c,2012,1,,f,,,,,,
,gf0051,G,1,,,,2,20150620 photographed following on trail cameras,20150620,5,,,,gf0051,2010,,,unk,,,1,,,
One Tusk,gf0001,O,,,1,,2,20110906,20110906,6,,,,gm0022,2004,,1,m,,,1,,,
,gf0090,D,1,,,,2,"20160803 photographed on trail cameras with a calf about 1 year, a calf about 4 and a female 6.5 years",20160803,6.5,,,,gf0090c,2009,1,,f,,,1,,,
,gf0051,G,1,,,,2,20150620 photographed following on trail cameras,20150620,7,,,,gf0051,2008,,1,m,,,1,,,
,gf0090,D,1,,,,2,20150605 on trail cameras,20150605,8,,,,gf0123,2007,1,,f,,,1,,,
,gf0108,J,1,,,,2,20150821 Photographed on trail cameras going down the bank with an 8 year old male,20150821,8,,,,gf0108c,2007,,1,m,,,1,,,
,gf0144,j,1,,,,2,"20160702 photographed with an infant, a tuskless female 4 and a tuskless female 9 who appears pregnant; perhaps the tusklesses belong to another female?",20160702,9,,,,gf0175,2007,1,,f,√,yes (tuskless),,1,,
,gf0134,H,1,,,,2,20151014 Photographed following closely across the road and Suckling (possibly tuskless) Field notes: 1) gf0134; 2) female calf ~ two tuskless; 3) calf 4 also following gf0134; 4) tuskless female ~10; 5) calf ~ 2 6) gf0135 broken left; 7) young male ~10 two tusks. (Note in my field notes I say 2-tuskless and she is the same size as the other who has tusks - also older sister is tuskless),20151014,10,,,,gf0134c,2005,1,,f,√,yes (tuskless),,1,,
,gf0090,D,1,,,,2,20150605 on trail cameras,20150605,10,,,,gm0097,2005,,1,m,,,1,,,
,gf0101,N,,,1,,2,20150801 gm0067 also with her,20150801,13,,,,gm0067,2002,,1,m,,,1,,,
,gf0083,A,1,,,,2,,20131020,13,,,,gf0087,2000,1,,f,,,1,,,
,gf0083,A,1,,,,2,,20151019,14,,,,gf0217,2001,1,,f,,,1,,,
,gf0090,D,1,,,,2,,20150522,15,,,,gf0091 Doroteia,2000,1,,f,,,1,,,
,gf0034,F,1,,,,2,,20160518,17,,,,gf0157,1999,1,,f,,,1,,,
,gf0006,N,1,,,,2,,20150622,18,,,,gf0170,1997,1,,f,,,1,,,
,gf0034,F,1,,,,2,,20161025,18,,,,gf0187,1998,1,,f,,,1,,,
,gf0006,N,1,,,,2,,20150524,20,,,,gf0099,1995,1,,f,,,1,,,
,gf0090,D,1,,,,2,Think age is wrong,20150522,30,,,,gf0092,1985,1,,f,,,1,,,
Iphegenia,gf0046,I,1,,,,,20190929 check seen with her,20190929,0.8,ck,,,gf0046c,2019,,,unk,,,,,,
,gf0143,J,1,,,,,20150821 Photographed on trail cameras with developing breasts - pregnant,20150821,12,,,,,,,,,,,,,,
,gf0154,C,,,,1,,20161029 appears pregnant,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
